"cntry","happy","health","brncntr","gndr","agea"
"AT",7,2,"Nacido en el país","Mujer",53
"AT",8,3,"Nacido en el país","Hombre",77
"AT",8,2,"Nacido en el país","Hombre",74
"AT",10,1,"Nacido en el país","Mujer",53
"AT",8,2,"Nacido en el país","Mujer",90
"AT",7,3,"No nacido en el país","Mujer",75
"AT",5,3,"No nacido en el país","Mujer",61
"AT",5,2,"Nacido en el país","Hombre",49
"AT",9,1,"Nacido en el país","Hombre",26
"AT",6,2,"Nacido en el país","Mujer",70
"AT",6,3,"Nacido en el país","Mujer",85
"AT",8,2,"Nacido en el país","Mujer",43
"AT",9,1,"Nacido en el país","Mujer",72
"AT",7,3,"Nacido en el país","Mujer",78
"AT",10,3,"Nacido en el país","Hombre",41
"AT",9,1,"Nacido en el país","Mujer",31
"AT",8,2,"No nacido en el país","Hombre",86
"AT",8,2,"Nacido en el país","Mujer",77
"AT",8,2,"Nacido en el país","Mujer",73
"AT",8,1,"No nacido en el país","Mujer",37
"AT",9,1,"Nacido en el país","Hombre",63
"AT",8,2,"Nacido en el país","Mujer",70
"AT",8,1,"Nacido en el país","Hombre",47
"AT",9,1,"Nacido en el país","Hombre",37
"AT",9,1,"Nacido en el país","Hombre",63
"AT",8,2,"Nacido en el país","Hombre",68
"AT",5,3,"Nacido en el país","Hombre",58
"AT",8,3,"Nacido en el país","Mujer",51
"AT",0,4,"Nacido en el país","Hombre",35
"AT",8,2,"Nacido en el país","Mujer",76
"AT",8,3,"Nacido en el país","Mujer",58
"AT",7,1,"Nacido en el país","Mujer",29
"AT",9,3,"Nacido en el país","Mujer",64
"AT",8,1,"No nacido en el país","Mujer",30
"AT",9,1,"Nacido en el país","Mujer",27
"AT",8,4,"Nacido en el país","Mujer",78
"AT",8,2,"Nacido en el país","Mujer",71
"AT",10,2,"Nacido en el país","Mujer",69
"AT",8,2,"No nacido en el país","Mujer",41
"AT",8,1,"Nacido en el país","Hombre",74
"AT",9,2,"Nacido en el país","Hombre",83
"AT",8,2,"Nacido en el país","Hombre",49
"AT",9,3,"Nacido en el país","Mujer",87
"AT",8,2,"Nacido en el país","Hombre",48
"AT",6,1,"Nacido en el país","Mujer",59
"AT",2,4,"Nacido en el país","Hombre",57
"AT",9,1,"Nacido en el país","Hombre",44
"AT",6,3,"Nacido en el país","Mujer",64
"AT",9,1,"Nacido en el país","Mujer",41
"AT",8,1,"Nacido en el país","Mujer",19
"AT",7,1,"Nacido en el país","Hombre",52
"AT",8,2,"Nacido en el país","Mujer",67
"AT",6,1,"Nacido en el país","Mujer",71
"AT",10,2,"Nacido en el país","Mujer",59
"AT",7,2,"Nacido en el país","Mujer",29
"AT",6,3,"No nacido en el país","Mujer",53
"AT",8,2,"Nacido en el país","Hombre",76
"AT",5,1,"Nacido en el país","Hombre",55
"AT",9,2,"No nacido en el país","Mujer",50
"AT",8,2,"Nacido en el país","Mujer",55
"AT",7,2,"No nacido en el país","Mujer",31
"AT",9,2,"Nacido en el país","Hombre",74
